PROJECTCOD,UNID,AREA,PERIMETER,AVGELEVATI,CODE,POI,AOI,LABEL,TYPE,DATE,FEATURE,UNIT,ORIG_UNID,SOURCEID,SOURCEID2
FY,295000.00,0.831942,11.444521,0.000000,Hearth,C1,C1SA1,,,11/24/2009,,,0.00000000000,5098.00000000000,0.00000000000
FY,295001.00,2016.069522,418.584864,0.000000,Transect,C1,C1T1,,,11/24/2009,,,42014.00000000000,5341.00000000000,5345.00000000000
FY,295002.00,2016.069522,418.584864,0.000000,DuneSand,C1,C1T1,,,11/24/2009,,,42014.00000000000,5344.00000000000,0.00000000000
FY,295003.00,2042.728034,420.189474,0.000000,Transect,C1,C1T2,,,11/24/2009,,,42015.00000000000,5341.00000000000,5345.00000000000
FY,295004.00,2042.728034,420.189474,0.000000,DuneSand,C1,C1T2,,,11/24/2009,,,42015.00000000000,5344.00000000000,0.00000000000
FY,295005.00,75.273953,40.339426,0.000000,VehicleTrack,C1,C1T3,,,11/24/2009,,,5095.00000000000,5342.00000000000,0.00000000000
FY,295006.00,1998.987521,418.792664,0.000000,Transect,C1,C1T3,,,11/24/2009,,,42016.00000000000,5341.00000000000,5343.00000000000
FY,295007.00,107.551290,52.020978,0.000000,DuneSand,C1,C1T3,,,11/24/2009,,,5093.00000000000,5342.00000000000,0.00000000000
FY,295008.00,227.249298,67.914430,0.000000,DuneSand,C1,C1T3,,,11/24/2009,,,5097.00000000000,5342.00000000000,0.00000000000
FY,295009.00,42.657105,31.847559,0.000000,DesertPavement,C1,C1T3,,,11/24/2009,,,5092.00000000000,5342.00000000000,0.00000000000
FY,295010.00,233.557321,71.897579,0.000000,DesertPavement,C1,C1T3,,,11/24/2009,,,5094.00000000000,5342.00000000000,0.00000000000
FY,295011.00,1312.500037,284.225681,0.000000,DesertPavement,C1,C1T3,,,11/24/2009,,,5096.00000000000,5342.00000000000,0.00000000000
FY,295012.00,2027.313005,420.299419,0.000000,Transect,C2,C2T1,,,11/21/2009,,,42008.00000000000,5324.00000000000,5328.00000000000
FY,295013.00,93.797547,40.115641,0.000000,DuneSand,C2,C2T1,,,11/21/2009,,,5059.00000000000,5327.00000000000,0.00000000000
