ProjectCod,UNID,SourceID,Length,AvgElevati,Code,POI,AOI,Label,Type,Date,Feature,Unit,ORIG_UNID
FY,294001,0,1.647243,0,Section,E29H1,,,,,E29H1H106,,0
FY,294002,0,1.610574,0,Section,E29H1,,,,,E29H1H111,,0
FY,294003,0,2.61112,0,Section,E29H1,,,,,E29H1H113,,0
FY,294004,0,1.008638,0,Section,E29H1,,,,,E29H1H114,,0
FY,294005,0,2.839878,0,Section,E29H1,,,,,E29H1H115,,0
FY,294006,0,4.361744,0,Section,E29H1,,,,,E29H1H116,,0
FY,294007,0,3.200496,0,Section,E29H1,,,,,E29H1H116,,0
FY,294008,0,3.515809,0,Section,E29H1,,,,,E29H1H119,,0
FY,294009,0,1.805919,0,Section,E29H1,,,,,E29H1H120,,0
FY,294010,0,1.146268,0,Section,E29H1,,,,,E29H1H121,,0
FY,294011,0,3.540898,0,Section,E29H1,,,,,E29H1H122,,0
FY,294012,0,1.943144,0,Section,E29H1,,,,,E29H1H123,,0
FY,294013,0,1.252429,0,Section,E29H1,,,,,E29H1H124,,0
FY,294014,0,1.589146,0,Section,E29H1,,,,,E29H1H125,,0
FY,294015,0,1.679014,0,Section,E29H1,,,,,E29H1H126,,0
FY,294016,0,1.294544,0,Section,E29H1,,,,,E29H1H127,,0
FY,294017,0,1.433756,0,Section,E29H1,,,,,E29H1H130,,0
FY,294018,0,0.784781,0,Section,E29H1,,,,,E29H1H132,,0
FY,294019,0,1.255657,0,Section,E29H1,,,,,E29H1H133,,0
FY,294020,0,2.054225,0,Section,E29H1,,,,,E29H1H135,,0
FY,294021,0,0.545223,0,Section,E29H1,,,,,E29H1H137,,0
FY,294022,0,2.423365,0,Section,E29H1,,,,,E29H1H138,,0
FY,294023,0,1.480128,0,Section,E29H1,,,,,E29H1H139,,0
FY,294024,0,1.572384,0,Section,E29H1,,,,,E29H1H140,,0
FY,294025,0,1.314359,0,Section,E29H1,,,,,E29H1H141,,0
FY,294026,0,1.140438,0,Section,E29H1,,,,,E29H1H142,,0
FY,294027,0,1.501025,0,Section,E29H1,,,,,E29H1H143,,0
FY,294028,0,1.059257,0,Section,E29H1,,,,,E29H1H145,,0
FY,294029,0,0.787798,0,Section,E29H1,,,,,E29H1H146,,0
FY,294030,0,0.833264,0,Section,E29H1,,,,,E29H1H147,,0
FY,294031,0,0.947432,0,Profile,E29H1,,148,,,E29H1H148,,148
FY,294032,0,0.831704,0,Profile,E29H1,,148,,,E29H1H148,,148
FY,294033,0,0.706612,0,Profile,E29H1,,149,,,E29H1H148,,149
FY,294034,0,0.734257,0,Profile,E29H1,,149,,,E29H1H148,,149
FY,294035,0,1.071733,0,Section,E29H1,,148,,,E29H1H148,,148
FY,294000,0,156.73381,0,ShoreBench,E29H1,,,,,,,60005
